,frequency,count,placement avg,placement std,points avg,points std,achievements avg
all,1.0,350,1.35,1.120114351509905,82.57142857142857,9.249442682151907,1.7885714285714285
gotozaemon,0.07428571428571429,26,1.0769230769230769,1.1374735838014676,78.61538461538461,10.815089174211826,1.4230769230769231
umegae,0.05714285714285714,20,1.275,1.1410406146191845,83.1,11.38281252822129,1.75
satsuki,0.037142857142857144,13,0.6153846153846154,0.7679476477883045,77.92307692307692,5.283015844217809,2.0
kita,0.08285714285714285,29,1.2413793103448276,1.0907131485472212,81.79310344827586,10.594403206898672,2.1379310344827585
mitsukuni,0.04285714285714286,15,0.9666666666666667,1.0431180365113233,79.26666666666667,9.63969965941935,1.6666666666666667
yoshiyasu,0.08571428571428572,30,1.45,1.1915651833646772,82.83333333333333,8.221432601620505,1.5666666666666667
chuubei,0.08,28,1.875,0.9586352181520776,86.57142857142857,7.244045173533257,2.4642857142857144
kinko,0.12285714285714286,43,1.4534883720930232,1.0845997368371831,86.18604651162791,8.03046524760697,1.7209302325581395
zenemon,0.06571428571428571,23,1.1956521739130435,1.1554134485776728,80.69565217391305,9.147452614146916,1.7391304347826086
daigoro,0.06857142857142857,24,1.6875,1.0815900131388692,84.375,7.917028977216576,1.9166666666666667
hiroshige,0.054285714285714284,19,1.7105263157894737,1.1704200275694499,84.78947368421052,7.892182822743168,2.473684210526316
hirotada,0.09714285714285714,34,1.838235294117647,1.0921246198961196,86.5,7.427426651719064,1.6470588235294117
jirocho,0.054285714285714284,19,0.8947368421052632,1.1496249070460265,78.57894736842105,10.657891126993828,1.3157894736842106
nampo,0.022857142857142857,8,0.875,1.1259916264596033,76.5,10.783585409580354,1.75
sasayakko,0.045714285714285714,16,0.9375,0.7719024117939607,78.5,5.5377492419453835,1.1875
miyataka,0.008571428571428572,3,0.0,0.0,70.33333333333333,6.6583281184793925,1.3333333333333333
1,0.2542857142857143,89,1.2415730337078652,1.0474871434190456,81.59550561797752,8.823675668238465,1.595505617977528
2,0.2542857142857143,89,1.2303370786516854,1.150731436796735,81.24719101123596,8.22590268447565,1.7191011235955056
3,0.25142857142857145,88,1.5738636363636365,1.161003758959315,84.92045454545455,9.966866477344848,1.8863636363636365
4,0.24,84,1.3571428571428572,1.101946330038679,82.54761904761905,9.621017106646251,1.9642857142857142
